,Symbol,Company Name
,ABB,ABB India Ltd.
,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.
,ASHOKLEY,Ashok Leyland Ltd.
,BAJFINANCE,Bajaj Finance Ltd.
,BAJAJFINSV,Bajaj Finserv Ltd.
,BEL,Bharat Electronics Ltd.
,BHARATFORG,Bharat Forge Ltd.
,BRITANNIA,Britannia Industries Ltd.
,CADILAHC,Cadila Healthcare Ltd.
,CAIRN,Cairn India Ltd.
,CASTROLIND,Castrol India Ltd.
,COLPAL,Colgate Palmolive (India) Ltd.
,CONCOR,Container Corporation of India Ltd.
,CUMMINSIND,Cummins India Ltd.
,DLF,DLF Ltd.
,DABUR,Dabur India Ltd.
,DIVISLAB,Divi's Laboratories Ltd.
,EMAMILTD,Emami Ltd.
,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.
,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.
,GLENMARK,Glenmark Pharmaceuticals Ltd.
,GODREJCP,Godrej Consumer Products Ltd.
,HINDPETRO,Hindustan Petroleum Corporation Ltd.
,HINDZINC,Hindustan Zinc Ltd.
,IBULHSGFIN,Indiabulls Housing Finance Ltd.
,IOC,Indian Oil Corporation Ltd.
,INDIGO,InterGlobe Aviation Ltd.
,JSWSTEEL,JSW Steel Ltd.
,LICHSGFIN,LIC Housing Finance Ltd.
,MARICO,Marico Ltd.
,MOTHERSUMI,Motherson Sumi Systems Ltd.
,NHPC,NHPC Ltd.
,NMDC,NMDC Ltd.
,OIL,Oil India Ltd.
,OFSS,Oracle Financial Services Software Ltd.
,PIDILITIND,Pidilite Industries Ltd.
,PEL,Piramal Enterprises Ltd.
,PFC,Power Finance Corporation Ltd.
,PGHH,Procter & Gamble Hygiene & Health Care Ltd.
,PNB,Punjab National Bank
,SHREECEM,Shree Cement Ltd.
,SRTRANSFIN,Shriram Transport Finance Co. Ltd.
,SIEMENS,Siemens Ltd.
,SAIL,Steel Authority of India Ltd.
,TITAN,Titan Company Ltd.
,TORNTPHARM,Torrent Pharmaceuticals Ltd.
,UPL,UPL Ltd.
,UBL,United Breweries Ltd.
,MCDOWELL-N,United Spirits Ltd.
,VEDL,Vedanta Ltd.
